CVCL	label
cellosaurus:CVCL_1114	CAL-85-1
cellosaurus:CVCL_5121	CaLo
cellosaurus:CVCL_5121	CaLo
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_0236	Calu-6
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_1115	CAMA-1
cellosaurus:CVCL_0200	Caov-1
cellosaurus:CVCL_0202	Caov-4
cellosaurus:CVCL_0202	Caov-4
cellosaurus:CVCL_0202	Caov-4
cellosaurus:CVCL_0202	Caov-4
cellosaurus:CVCL_0202	Caov-4
cellosaurus:CVCL_0026	Capan-2
cellosaurus:CVCL_0026	Capan-2
cellosaurus:CVCL_0026	Capan-2
cellosaurus:CVCL_0026	Capan-2
cellosaurus:CVCL_1116	CaR-1
cellosaurus:CVCL_1117	CAS-1
cellosaurus:CVCL_DF79	CC-10A
cellosaurus:CVCL_DF79	CC-10A
cellosaurus:CVCL_DF80	CC-10B
cellosaurus:CVCL_DF80	CC-10B
cellosaurus:CVCL_DF78	CC-8
cellosaurus:CVCL_DF78	CC-8
cellosaurus:CVCL_3298	CCD-1103 KIDTr
cellosaurus:CVCL_3299	CCD-1105 KIDTr
cellosaurus:CVCL_2870	CCD-14Br
cellosaurus:CVCL_1118	CCF-STTG1
cellosaurus:CVCL_1118	CCF-STTG1
cellosaurus:CVCL_1118	CCF-STTG1
cellosaurus:CVCL_1118	CCF-STTG1
cellosaurus:CVCL_2873	CCK-81
cellosaurus:CVCL_2873	CCK-81
cellosaurus:CVCL_1860	CCRF-SB
cellosaurus:CVCL_1860	CCRF-SB
cellosaurus:CVCL_0209	CESS
cellosaurus:CVCL_0209	CESS
cellosaurus:CVCL_1123	CHP-126
cellosaurus:CVCL_1123	CHP-126
cellosaurus:CVCL_1124	CHP-134
cellosaurus:CVCL_1124	CHP-134
cellosaurus:CVCL_1124	CHP-134
cellosaurus:CVCL_1125	CHP-212
cellosaurus:CVCL_1125	CHP-212
cellosaurus:CVCL_1125	CHP-212
cellosaurus:CVCL_1125	CHP-212
cellosaurus:CVCL_1861	Ci-1
cellosaurus:CVCL_M711	CIPULLO
cellosaurus:CVCL_U797	CJM
cellosaurus:CVCL_1978	CL-11
cellosaurus:CVCL_1978	CL-11
cellosaurus:CVCL_1978	CL-11
cellosaurus:CVCL_1979	CL-14
cellosaurus:CVCL_1979	CL-14
cellosaurus:CVCL_1979	CL-14
cellosaurus:CVCL_1980	CL-34
cellosaurus:CVCL_1980	CL-34
cellosaurus:CVCL_1980	CL-34
cellosaurus:CVCL_1982	CL-40
cellosaurus:CVCL_1982	CL-40
cellosaurus:CVCL_1982	CL-40
cellosaurus:CVCL_9533	CLB-Ma2
cellosaurus:CVCL_9533	CLB-Ma2
cellosaurus:CVCL_5728	CLS-54
cellosaurus:CVCL_5728	CLS-54
cellosaurus:CVCL_1126	CML-T1
cellosaurus:CVCL_1126	CML-T1
cellosaurus:CVCL_1126	CML-T1
cellosaurus:CVCL_1127	CoCM-1
cellosaurus:CVCL_1128	COLO 668
cellosaurus:CVCL_1129	COLO 678
cellosaurus:CVCL_1129	COLO 678
cellosaurus:CVCL_1129	COLO 678
cellosaurus:CVCL_1129	COLO 678
cellosaurus:CVCL_1131	COLO 680N
cellosaurus:CVCL_1131	COLO 680N
cellosaurus:CVCL_1132	COLO 684
cellosaurus:CVCL_1132	COLO 684
cellosaurus:CVCL_1991	COLO 685
cellosaurus:CVCL_1992	COLO 699
cellosaurus:CVCL_1133	COLO 741
cellosaurus:CVCL_1133	COLO 741
cellosaurus:CVCL_1997	COLO 783
cellosaurus:CVCL_1134	COLO 792
